,Name,Duration,Genre,Rating,No. of Ratings,No. of Episodes,Creators,Stars,Reviews (Users),Reviews (Critics),Seasons,Storyline,Language,Release Date
99,Ishq Mein Marjawan 2,25min,"['Action', 'Drama', 'Mystery']",9.8,7240,215,['Yash Patnaik'],"['Helly Shah', 'Rrahul Sudhir', 'Vishal Vashishtha']",559,,2,"Riddhima and Vansh are back but this time, their relationship is not what it appears to be. Which new (or old?) enemy will they have to fight?",Hindi,2020 (India)
100,Best of Luck Nikki,22min,"['Comedy', 'Family']",8.3,1018,107,,"['Sheena Bajaj', 'Gurdeep Kohli', 'Ananya Kolvankar']",8,1,4,"The Series about a Singh family, who try to adjust to the birth of their fourth child, ""Nikki"" (Ananaya). In each episode, Dolly Singh (Sheena Bajaj) creates a video diary containing advice for Nikki about their family and life as a teenager. Dolly tries to show Nikki what she might go through in the video diary so she can always know how to figure things out when she get's older.
Written by
Tapas Mondal.",Hindi,3 April 2011 (India)
101,Crackdown,30min,"['Action', 'Crime', 'Drama']",7.5,2792,8,,"['Saqib Saleem', 'Shriya Pilgaonkar', 'Iqbal Khan']",632,5,1,Crackdown is a high-octane action drama/espionage series revolving around RAW's special ops team trying to crack through multiple smaller decoys to uncover a larger conspiracy and to prevent a major threat to national security. In the process they find an able ally in a girl whose identity remains a mystery.,Hindi,23 September 2020 (India)
102,Kaafir,45min,"['Drama', 'Thriller']",8.4,1207,8,,"['Dia Mirza', 'Mohit Raina', 'Dishita Jain']",84,1,1,Web series that follows the journey of a journalist who is seeking justice for an alleged militant.,Hindi,15 June 2019 (India)
103,Crashh,23min,['Romance'],9,3114,10,,"['Kunj Anand', 'Aditi Sharma', 'Anushka Sen']",540,,1,"The story follows four siblings orphaned and later separated from each other when their parents die in a car crash. Years later the oldest sibling, Kabir who was never adopted decides to get his family back together. The chaos and obstacles he encounters in the process make you wonder if it was even worth it.
Written by
Shrinivas G. Kulkarni",English,14 February 2021 (India)
104,Bad Boy Billionaires: India,59min,"['Documentary', 'Biography', 'Crime']",8,2600,3,,[],65,6,1,"This investigative docuseries explores the greed, fraud and corruption that built up - and ultimately brought down - India's most infamous tycoons.",English,2 September 2020 (USA)
105,Laakhon Mein Ek,30min,['Drama'],8.3,3618,14,['Biswa Kalyan Rath'],"['Biswa Kalyan Rath', 'Akshaya Bhingare', 'Abhay Kulkarni']",68,2,2,"Aakash just finished high school and is planning to study commerce with his friends in Raipur. His father has different plans for him. He sends Aakash to Genius Infinity, an IIT Coaching institute far away from Raipur. Aakash reaches there to discover it's a whole different world and he is a complete misfit. People here are far ahead of him in studies. There is no room for fun. Slowly, a friendship forms between him and his roommates Bakri and Chudail. So does a rivalry, between him and Chandrakanth, the topper of the institute. Aakash gradually gets into the groove of the grind and begins to fit in.
Written by
OML Entertainment",Hindi,15 September 2017 (India)
106,Operation MBBS,27min,"['Comedy', 'Drama']",9,10474,10,,"['Ayush Mehra', 'Anshul Chauhan', 'Sarah Hashmi']",226,,2,"Operation MBBS chronicles the lives of three first year students - Huma, Sakshi and Nishant in one of the best MBBS colleges in the country. Follow their journey as they navigate through friendships, hardships and medical student life.",Hindi,22 February 2020 (India)
107,Guns and Thighs,1h,"['Crime', 'Drama']",,,3,['Ram Gopal Varma'],['Rocky Verma'],,,1,"The Series Guns and Thighs for the first time tells the highly potent story of the Mumbai Mafia in India, which is much more dangerous than the Italian, Russian or Hong Kong Mafia. The Series focuses on the internal conflicts in the infamous D Company, headed by Dawood Ibrahim (declared by the US as one of the Most Wanted) and its collusion with cops, politicians and the glamour industry, popularly known as Bollywood. It's a high energy crime/drama coming from the land of 'Slumdog Millionaire'.
Written by
Ram Gopal Varma",,
108,Zindagi inShort,1h 56min,"['Comedy', 'Drama', 'Romance']",7.2,533,7,,"['Deepak Dobriyal', 'Divya Dutta', 'Neena Gupta']",15,14,1,"Zindagi inShort is an anthology of seven independently shot drama films (Zindagi inShort: Sunny Side Upar (2020), Zindagi inShort: Pinni (2020), Zindagi inShort: Sleeping Partner (2020), Zindagi inShort: Chhaju Ke Dahi Bhalle (2020), Zindagi inShort: Swaaha (2020), Zindagi inShort: Thappad (2020), Zindagi inShort: Nano So Phobia (2020)) produced by Sikhya Entertainment. It is a Flipkart Video Original directed by a host of seven directors. Zindagi inShort is a unique collection of heart-warming stories, extraordinary stories, drawn from everyday lives with a promising twist that everyone will be able to relate to. Every story represents different stages of life and bittersweet moments that can at times, accompany them. These films touch upon online romance, the innocence of childhood, the confusion of old age, the construct of being loved in a marriage, infidelity, a woman owning her role in the family and standing up for yourself when it's the hardest to do so. Themes as powerful as ...",Hindi,19 February 2020 (India)
109,Queen,50min,"['Biography', 'Drama', 'History']",8.8,3518,11,,"['Vanitha Krishnachandran', 'Sonia Agarwal', 'Viji Chandrashekhar']",146,,1,"The Queen is a story of a woman in the male-driven worlds of Cinema and Tamil Nadu politics. It is a story of a woman who didn't get the happy ending she wanted and yet, was destiny's chosen child.",Tamil,1 December 2019 (India)
110,Iss Pyaar Ko Kya Naam Doon,22min,"['Drama', 'Romance']",7.6,2875,408,,"['Barun Sobti', 'Sanaya Irani', 'Akshay Dogra']",46,1,3,"Arnav, a wealthy business tycoon, decides to ruin Khushi's reputation after he thinks she sabotaged one of his events. Meanwhile, Khushi quietly suffers for the crimes she didn't commit.",Hindi,6 June 2011 (India)
111,Kavita Bhabhi,22min,['Drama'],5.2,137,18,,"['Kavita Radheshyam', 'Nishant Pandey', 'Amita Nangia']",3,1,3,Kavita is a young erotic woman who consults the men on phone calls and cure them sexually by telling them her bed stories.,Hindi,10 January 2020 (India)
112,11th Hour,,"['Drama', 'Thriller']",6.1,271,8,,"['Tamannaah Bhatia', 'R. Bhakti Klein', 'Rajiv Kumar A.']",20,,1,"Courageous, fearless, and ambitious - She's a woman trying to conquer a man's world. Will Aratrika win the biggest fight of her life?",Telugu,8 April 2021 (India)
113,Best Friends Forever?,,['Drama'],8.4,176,140,,"['Fenil Umrigar', 'Charlie Chauhan', 'Shritama Mukherjee']",3,,1,"Best Friends Forever? (or BFF) was a daily TV teen drama telecast on Channel V India. It went on air on 3 December 2012, aired every Monday to Saturday at 7:30 PM, and ended its run on 25 May 2013. It was loosely based on the American TV show Pretty Little Liars. BFFs was one the popular shows of channel V.
Written by
Wikipedia",Hindi,2012 (India)
114,Kamathipura,,"['Crime', 'Thriller']",5.6,177,7,,"['Meera Chopra', 'Anang Desai', 'Kulbhushan Kharbanda']",33,,1,"In red light area of Kamathipura a dead body of prostitute is found ACP Aditi Acharya is assigned on the case whose going through her personal issues.A scorpion tattoo is found on the body as identification mark the brothel madam Daya knows the killer and asks help from a pimp Prahar whose a powerful person.Prahar has huge contact's and can change things Aditi refuses to take his help as he is a criminal but circumstances force her to take his help.Aditi catches the culprit a doctor as per leads given by Prahar but he confess that he did it in self defense as the women suddenly went violent and attacked him but to save his image Dr kills himself in custody.Another body of prostitute from Kamathipura is found in Pune with the scorpion tattoo ,Prahar again provides the lead while the culprit here also testifies he did it in self defense as the women went violent and attacked.Aditi finds that Prahar has old score to settle with her father and he had saved her in childhood from child ...
Written by
alex.mjacko@gmail.com",Hindi,8 March 2021 (India)
115,Pushpavalli,22min,"['Short', 'Comedy', 'Thriller']",7.5,1433,16,['Sumukhi Suresh'],"['Manish Anand', 'Naveen Richard', 'Sumukhi Suresh']",74,,2,"Restraint, boundaries and animal rights are all things Pushpavalli failed to learn last season. We saw Pushpavalli's harmless infatuation for the charming Bhindi exporter Nikhil Rao turn into an obsession. From stealing Nikhil's dog to breaking her leg to get his attention, Pushpavalli set herself up to be embarrassed and yelled at by everyone around her. Hurt and distressed, her boss/childhood friend Pankaj advised her to go back home to Bhopal. Did she? No. Instead she installed CCTV at Nikhil's house. This season opens with Pushpavalli getting engaged to Vidyuth, a sweet gentle boy from Bangalore and surprisingly she appears to have moved on. She has decided to stay back in Bangalore to spend time with Vidyuth and his family while her overbearing Amma is at the Guruji's ashram. But why is she back at Pankaj's Children's Library, which is on the same street as Nikhil's Bhindi Packhouse? Why is she living again at Vasu's PG, but this time secretly? How did Nikhil and her become ...",,15 December 2017 (India)
116,City of Dreams,40min,['Thriller'],7.6,1657,10,,"['Priya Bapat', 'Siddharth Chandekar', 'Eijaz Khan']",50,,1,"Multiple lives intersect after an assassination attempt on Mumbai's most polarising political figure.A single stone thrown in a seemingly placid lake sets off a series of ripples that affect everyone and hurt many. 'City of Dreams' is the story of the feud within the Gaikwad family, which erupts after an assassination attempt on a polarizing political figure. Blurring the lines between moral and immoral, in a struggle for power forms the core of this transfixing narrative.",Hindi,3 May 2019 (India)
117,Naxalbari,29min,"['Action', 'Crime', 'Thriller']",8,1764,9,,"['Rajeev Khandelwal', 'Tina Dutta', 'Sreejita De']",535,1,1,STF agent Raghav goes on a secret mission to curtail the revival of a naxal uprising in Gadchiroli. But the war becomes too personal as he digs deeper and tries to uncover the larger plan of the uprising.,Hindi,28 November 2020 (India)
118,The Raikar Case,,['Thriller'],7.2,2094,7,,"['Atul Kulkarni', 'Ashwini Bhave', 'Parul Gulati']",622,8,1,"set in Goa's Bicholim village in Naik Raikar family where the youngest family member 16 year old Tarun commits suicide.Naik Raikar's are known for their expanded business of cashew factory while the head of the family Yeshwant is soon going to enter politics his daughter Etasha blames herself for death of Tarun as she didn't answer his calls before he died.Inspector John Pereira investigating the case finds that few years before Yeshwant's elder brother Vinayak (Tarun's father) and his daughter Trupti died in a car accident and that Tarun didn't commit suicide but was murdered.The Naik Raikar family does not look what it seems to be as there are hidden secrets and everyone is suspect.
Written by
alex.mjacko@gmail.com",Hindi,March 2020 (India)
119,Palang Tod,21min,['Drama'],6.8,36,0,,"['Ruks Khandagale', 'Nimesh']",,,,"The plot is about life a youngster and two ladies. He falls in love with the young girl which changes the equation. With love taking over the relationship, he gets confused whom to accept. Can everyone get the love they wish for?",Hindi,22 January 2021 (India)
120,Paap,,['Thriller'],6.4,199,10,,"['Roy Angana', 'Puja Banerjee', 'Saheb Bhattacharjee']",11,,2,"What's the reason for Parboni's return to her past? Will her family accept her this way? This Durga Puja, witness the drama that unfolds at the Chowdhury household as Parboni returns with a dreaded secret.",Bengali,2 October 2019 (India)
121,1962: the War in the Hills,45min,"['Action', 'Adventure', 'Drama']",6.2,1151,3,,"['Karim Hajee', 'Pravin Bhosale', 'Hemant Koumar']",116,,1,"In the Sino-Indian War, 126 Indians defended a strategic pass against 3,000 enemy soldiers. This was a battle of dauntless courage, fought to the last bullet.",Hindi,26 February 2021 (India)
122,Chattis Aur Maina,14min,['Romance'],8.7,38,15,,"['Nikhil Jaiswal', 'Vikram Singh Chauhan', 'Sandeepa Dhar']",3,,1,"Ambitious Maina, the lead of a dance troupe, meets neighborhood good boy Chattis. Poles apart in real life, what happens when they start vibing on a dating app?",Hindi,28 May 2021 (India)
123,C.I.D.,42min,"['Crime', 'Drama', 'Mystery']",6.7,2999,1548,['B.P. Singh'],"['Dinesh Phadnis', 'Dayanand Shetty', 'Aditya Srivastav']",15,,6,"The first thrilling investigative series on Indian Television is also one of the most popular shows on Sony Entertainment Television. Dramatic and absolutely unpredictable, C.I.D. has captivated viewers over the last twenty years and continues to keep audiences glued to their television sets with its thrilling plots and excitement. Also interwoven in its fast-paced plots are the personal challenges that the C.I.D. team faces with non-stop adventure, tremendous pressure and risk, all in the name of duty. The series consists of hard-core police procedural stories dealing with investigation, detection and suspense. The protagonists of the serial are an elite group of officers belonging to the Crime Investigation Department, led by ACP Pradyuman (played by the dynamic Shivaji Satam). While the stories are plausible, there is an emphasis on dramatic plotting and technical complexities faced by the police. At every stage, the plot throws up intriguing twists and turns keeping the officers ...",Hindi,21 January 1998 (India)
124,Wagle Ki Duniya,,['Comedy'],9.3,1227,83,"['Aatish Kapadia', 'Jamnadas Majethia']","['Sumeet Raghvan', 'Sheehan Kapahi', 'Pariva Pranati']",119,,1,"Three generations of the family live together, who share all their happiness and sorrows. Follow the story of this family as they bring laughter to each other's lives and will make your heart melt. A new generation of the old critically acclaimed show is here to take you on a roller coaster ride of emotions.
Written by
Youtube",Hindi,8 February 2021 (India)
125,Bunnicula,11min,"['Animation', 'Short', 'Adventure']",7.2,451,89,,"['Chris Kattan', 'Sean Astin', 'Brian Kimmet']",10,1,3,A vampire rabbit likes to drink carrot juice instead of blood to strengthen up his super abilities in new paranormal adventures.,English,6 February 2016 (USA)
126,Thinkistan,25min,['Drama'],8.9,2468,23,,"['Shravan Reddy', 'Naveen Kasturia', 'Mandira Bedi']",243,,2,The lives of people working for an advertising agency become entangled while they look out for ambition and power.,Hindi,2019 (India)
127,Let's Go Luna!,30min,"['Animation', 'Comedy', 'Family']",7.4,117,47,['Joe Murray'],"['Saara Chaudry', 'Judy Greer', 'Jaiden Cannatelli']",7,1,3,"Leo the wombat, Carmen the butterfly, and Andy the frog travel around the world to learn about culture with their friend, Luna the moon.",English,21 November 2018 (USA)
128,Dev DD,24min,"['Drama', 'Romance']",8,2846,28,,"['Asheema Vardaan', 'Rashmi Agdekar', 'Suneel Sinha']",292,,2,"In this modern-day take on Devdas, Devika is anything but your typical girl-next-door. With masaledaar drama, heartbreak, and unpredictable romantic twists, you've never met a girl like Devika DD. Will she ever find true love? Watch her saga of love, lust, betrayal, and everything in between to find out.",Hindi,16 April 2017 (India)
129,Kitani Mohabbat Hai,20min,['Drama'],7.4,239,323,,"['Karan Kundra', 'Kritika Kamra', 'Shresth Kumar']",,,2,"Arjun, son of the goon businessman is an arrogant man and helps his father. Arohi, from the family of police officers and lawyer. How they ended with falling for each other. How Arohi will react after knowing who Arjun is? How two rival families will react after knowing about their love? Will Arjun change for his love?",Hindi,4 January 2011 (India)
130,Ek Duje Ke Vaaste 2,22min,['Romance'],9.3,961,187,,"['Mohit Kumar', 'Kanika Kapur', 'Khushi Mishra']",61,,1,"Set against army backdrop, ""Ek Duje Ke Vaaste 2"" will narrate the love story of Shravan(Mohit Kumar) and Suman(Kanikka Kapur).",Hindi,10 February 2020 (India)
131,Yehh Jadu Hai Jinn Ka,22min,"['Drama', 'Fantasy', 'Romance']",,,34,,"['Aditi Sharma', 'Richa Bhattacharya', 'Vikram Singh Chauhan']",12,,1,He lives under the dark shadow of a Jinn while she is blessed with angelic qualities. What turn will Aman and Roshni's lives take when the two entangle in a 'magical' love story?,Hindi,
132,Bose: Dead/Alive,20min,"['Biography', 'History', 'Mystery']",8.8,5894,9,"['Ekalavya Bhattacharya', 'Jyoti Kapur Das', 'Ekta Kapoor']","['Rajkummar Rao', 'Naveen Kasturia', 'Edward Sonnenblick']",82,7,1,"The man. The legend. The mystery. He fascinated us in life, and long after his ""death"". This is the story of India's biggest cover-up: Netaji Subhash Chandra Bose and the mystery of his alleged death.",Hindi,20 November 2017 (India)
133,Saat Kadam,2h,"['Drama', 'Sport']",8.5,1475,4,,"['Amit Sadh', 'Ronit Roy', 'Deeksha Seth']",1481,,1,Saat Kadam revolves around the generation gap and the relationship between a father and his son. It is a a fictional sports based film.,Hindi,24 March 2021 (India)
134,Coldd Lassi Aur Chicken Masala,30min,['Romance'],7.4,1055,12,,"['Divyanka Tripathi Dahiya', 'Rajeev Khandelwal', 'Serena Walia']",635,1,1,"Fate brings ex-lovers Nitya, Indie Spice's head chef, and Vikram, a Michelin Star chef, together after 8 yrs. Memories of the lost love return along with the bitterness of past, leading to a sweet and spicy story with love aur drama ka tadka.",Hindi,3 September 2019 (India)
135,The Hunt,,"['Action', 'Thriller']",4.2,27,1,,"['Dishank Arora', 'Raj Babbar', 'Sajid Bubere']",5,,1,"Major Rajveer is on a deadly rescue mission to find his younger brother, who has disappeared into thin air. Can he win this race against time?",Hindi,7 May 2021 (India)
136,Bigg Boss Telugu,1h 30min,['Reality-TV'],6.9,205,187,,"['Nani', 'Geetha Madhuri', 'Kaushal Manda']",2,1,4,"Bigg Boss Telugu is a reality show based on the Hindi show Bigg Boss which too was based on the original Dutch Big Brother. A number of contestants (known as ""housemates"") live in a purpose-built house and are isolated from the rest of the world. Each week, housemates nominate two of their fellow housemates for eviction, and the housemates who receives the most nominations would face a public vote. Eventually, one housemate would leave after being ""convicted"" from the House. In the final week, there were five housemates remaining, and the public voted for who they wanted to win. Housemates are overseen by a mysterious person known as 'Bigg Boss', whose only presence in the house is through his voice.
Written by
AB THE BOSS",Telugu,16 July 2017 (India)
137,Kaisi Yeh Yaariyan,30min,['Drama'],8.8,1285,350,,"['Parth Samthaan', 'Niti Taylor', 'Charlie Chauhan']",74,1,3,"MTV Kaisi Yeh Yaariyan is an Indian television series that premiered on 21 July 2014 on MTV India. MTV Kaisi Yeh Yaariyan is about a successful music band Fab5 at S.P.A.C.E academy and two new girls and how they tackle the situations that Fab5 arises for them.
Written by
Anonymous",Hindi,2014 (India)
138,Yeh Rishta Kya Kehlata Hai,20min,['Drama'],2.7,1784,3434,,"['Hina Khan', 'Karan Mehra', 'Shivangi Joshi']",54,1,2021,"The story was about Akshara and Naitik who were bounded by arrange marriage, how the two fell in love and how they faced the little problems that come in everyone's lives. Kartik and Naira two individuals you drifted away from their families, due to a misunderstanding. Yeh Rishta Kya Kehlata Hai tells the story of how the two meet, time and again, which leads to their relationship progressing further with each encounter. It also shows how they bring each other closer to the family they have drifted apart.
Written by
Akash",Hindi,12 January 2009 (India)
139,Rasbhari,22min,"['Drama', 'Romance']",2.8,11270,8,,"['Swara Bhaskar', 'Ayushmaan Saxena', 'Rashmi Agdekar']",480,2,1,"Nand is amongst the rush of men who pursue Shanu, the new English teacher in Meerut. Upon his discovering her supposed alter-ego, the sex-obsessed spirit of Rasbhari, their relationship takes a new turn. A now matured Nand, takes up the responsibility of saving Shanu from the ongoing witch hunt by the women of the town initiated by his own mother, Pushpa.",Hindi,25 June 2020 (India)
140,Black Widows,34min,"['Crime', 'Drama', 'Mystery']",7.5,2086,12,,"['Shruti Vyas', 'Nikhil Bhambri', 'Saheb Chatterjee']",557,,1,"Based on the successful Finnish drama: Veera, Jayati and Kavita, tired of abusive and unloving husbands, plan and execute the murder of their husbands in what they make look like a boat accident. It was an almost perfect plan, as the boat blew up mid sea, when the three couples had gone for a quick vacation, in what looked like a simple boating accident. It's a secret the three women share, a secret that will help them move on from the drudgery of their unhappy lives. The police investigation led by Inspector Pankaj Misra and Inspector Rinku Sharma do not suspect the 'grieving widows'. The story of the accident begins to unravel when the innocent boat blast is confirmed by forensics to be a bomb blast. To add to the women's problems - Rameez, Veera's husband Jatin's business partner - believes that Jatin has hidden some money that belongs to him. This leads to the women realizing that the transport company, J M Transport, run by Jatin was involved in some shady dealings with a ...
Written by
Devdeepa Mukherjee",Hindi,18 December 2020 (India)
141,Ishqbaaaz,22min,"['Drama', 'Family', 'Romance']",5.7,2236,694,['Gul Khan'],"['Nakuul Mehta', 'Surbhi Chandna', 'Kunal Jaisingh']",19,1,2019,"The story is about three brothers - Shivaay, Omkara and Rudra -- who share an unbreakable bond despite their dysfunctional family.",Hindi,27 June 2016 (India)
142,Dark 7 White,20min,['Crime'],8.2,3127,10,,"['Sumeet Vyas', 'Nidhi Singh', 'Jatin Sarna']",719,3,1,"Yudi, a young politician, is murdered in broad daylight, which opens a can of worms. His closest friends become prime suspects, and as the mystery unfolds, many dark secrets unravel.",English,24 November 2020 (India)
143,Marmadesam,23min,"['Mystery', 'Thriller']",9.8,656,238,,"['Delhi Ganesh', 'Poovilangu Mohan', 'Devadarshini']",40,1,5,"Each episode was made of two parts-the first ten minutes of each 30-minute episode was set in the year 1972; the second part of each episode was set in 1997 and related to the events shown in the first part. While the first part revolved around the events of the Anaimudi Alampriyar household as seen through the eyes of the young Rajendran (played by Master Lokesh), the second part was mainly concerned with the customs, beliefs and traditions of the village and events unfolding in the Anaimudi Alampriyar household as seen through the eyes of the skeptical medical student Reena (Devadarshini) and her superstitious mentor (Mohan V. Ram).
Written by
Wiki",Tamil,15 November 1997 (India)
144,Shakti: Astitva Ke Ehsaas Ki,22min,['Drama'],4.1,194,1142,,"['Rubina Dilaik', 'Vivian Dsena', 'Gauri Tonk']",11,2,1,"This story is about the struggle of a human being fighting for what is right. Surbhi wants everyone to know that Saumya is just as much a part of the society as everyone else and she is no different from the rest of us, that she is not an outcast and deserves to live a happy life and be loved the same way everyone else does. Surbhi demands answers from people as to why transgender people are treated differently and stigmatized through no fault of their own, striving for a change.",Hindi,30 May 2016 (India)
145,Teen Do Paanch,,"['Comedy', 'Drama']",8,122,14,,"['Shreyas Talpade', 'Bidita Bag', 'Brijendra Kala']",12,5,1,"Vishal and Priyanka's lives turn upside down when they end up adopting three kids. With another surprise on the way, can they survive all the madness?",Hindi,7 May 2021 (India)
146,Selection Day,23min,['Sport'],7.4,1955,12,,"['Yash Dholye', 'Prashannt Jha', 'Mahesh Manjrekar']",36,5,1,Radha and Manju two brothers who play exceptional cricket and preparing for the selection day. Their father bring them Mumbai to get enrolled them in a club as this will bring them closer towards goal. Their struggle continues when the money ends and when their new coach teach them something new. However the problem with money resolved but they found out new tensions.,,28 December 2018 (India)
147,TVF Bachelors,,['Comedy'],8.2,3278,10,,"['Jasmeet Singh Bhatia', 'Shivankit Singh Parihar', 'Gopal Datt']",3,,2,The series revolves around Four Bachelor Flatmates who in every episode will deal with a specific daily life bachelor related problem. Its about their battle against an external X problem as a single team The Bachelors.,Hindi,15 June 2016 (India)
148,RadhaKrishn,1h,"['Drama', 'Romance']",8.6,1353,557,['Siddharth Kumar Tewary'],"['Sumedh Mudgalkar', 'Mallika Singh', 'Basant Bhatt']",81,,4,"The story of Radha and Krishna is the epitome of eternal love, which transcends eras and emotions.",Hindi,1 October 2018 (India)
149,Taj Mahal 1989,33min,"['Comedy', 'Drama', 'Romance']",7.5,1322,7,,"['Neeraj Kabi', 'Geetanjali Kulkarni', 'Danish Husain']",64,,1,"Lucknow, 1989. A pre-Internet age, where finding love was difficult, but sustaining it, even more so. Taj Mahal 1989 follows the intersecting lives of a Lucknow University professor couple, their students, a long lost friend and his lover, and a schoolgirl in love with an older boy. Through the daily struggles and triumphs of the characters, the series explores the different shades of love over the ages as it mutates and matures.
Written by
Ankit_kr",Hindi,14 February 2020 (India)
150,Chandragupta Maurya,,['History'],6.7,184,83,,"['Rajeev S.p', 'Tarun Khanna', 'Saurabh Raj Jain']",9,,1,"This is a historical saga of the first king of united India, Chandragupta Maurya. And How Chankya helps him throughout his journey.",Hindi,14 November 2018 (India)
151,Naagin,1h,"['Drama', 'Fantasy', 'Mystery']",3.5,1535,331,,"['Mouni Roy', 'Sudha Chandran', 'Adaa Khan']",40,1,5,"A miraculous shape-shifting snake having the power to become a human; she can be anybody she wants - a wife, a seductress, a mistress, a damsel in distress - all in the name of revenge.",Hindi,1 November 2015 (India)
152,Couples Guest House,,"['Adult', 'Romance']",3.2,5,1,,"['Jayesh Arora', 'Vinod Goswami', 'Ekta Killar']",,,,2 romantic couples moves out for a trip and stay at Couples Guest House. The romance-filled story turns upside down and become a nightmare.,Hindi,2020 (India)
153,13 Mussoorie,,['Thriller'],5.7,147,13,,"['Shoaib Ahmed', 'Shriya Pilgaonkar', 'Viraf Patel']",12,,1,"Based on the backdrop of a beautiful and serene city Mussoorie, the series revolves around a mysterious story of a merciless serial killer 'AKS'. The entire city is in a miff to know about the man behind the endless murders. A fearless journalist Aditi Bisht, daughter of a celebrated senior cop of the city - Ajay Bisht and a wife of reputed cop Rishi Pant is on a mission to solve the case and find the serial killer. But a twist follows when Aditi is shocked to know about the mystery man and plans to close the case without revealing the details to anybody. But well, another surprise awaits, as Aditi gets trapped by a copycat killer claiming himself to be 'AKS'. Will Aditi be able to track down the copycat killer before he reaches the endgame of his deranged puzzle? How long will she be able to hide the truth from her husband or the people of Mussoorie? And will there be collateral damage along the way?",Hindi,12 October 2018 (India)
154,The Legend of Hanuman,25min,['Animation'],9.4,4577,13,"['Charuvi P. Agrawal', 'Sharad Devarajan', 'Jeevan J. Kang']","['Da Man', 'Shakti Singh', 'Sanket Mhatre']",365,,1,"This is the story of a humble vanara who forgot his divinity but was awoken to embrace his true power and wisdom and become an immortal legend. A growing darkness threatens to tear the universe apart and all hope now lies in the journey of a young hero. When Hanuman's power was taken from him as a child, he must go on a journey of self-discovery to remember the god inside of him. Hanuman's quest will take him through a vast world of characters, demons, lost cities, cultures and forest beings with their rivalries, alliances and wars. At each stage he and his companions must overcome unthinkable challenges to save all existence. Through their adventures, Hanuman and his companions will once again inspire audiences to learn that the true measure of a hero is not defined from power, but from faith, courage, hope and compassion. This is the legend of Hanuman.
Written by
Graphic India",Hindi,29 January 2021 (India)
155,Paurashpur,25min,['Drama'],8.1,7533,7,,"['Annu Kapoor', 'Shilpa Shinde', 'Milind Soman']",1061,1,1,"In a kingdom dominated by men, it is the ultimate battle of the sexes to win the war being waged against gender equality. Every character is grey and they must fight for what they believe is right in order to survive in Paurashpur.",Hindi,29 December 2020 (India)
156,Kehne Ko Humsafar Hain,30min,['Drama'],8.2,1049,60,,"['Ronit Roy', 'Mona Singh', 'Gurdeep Kohli']",443,,3,"What happens when a middle-aged man decides to turn the course of his life? The story of a 40-year-old married man, who is torn between choices, responsibilities and personal need. Is this a mid-life crisis or a realization of what he actually wants? Kehne Ko Humsafar Hain is an ALTBalaji Original.
Written by
ALTBalaji",Hindi,16 March 2018 (India)
157,Live Telecast,32min,['Horror'],4.2,1067,7,,"['Kajal Aggarwal', 'Anandhi', 'Premgi Amaren']",86,,1,"TV show director Jenifer Matthew will do anything to win the TRP game, and a supposedly haunted house in a sleepy hill station may just be her golden ticket.",Tamil,12 February 2021 (India)
158,The Suite Life of Karan & Kabir,22min,"['Comedy', 'Drama']",7.4,243,52,,"['Namit Shah', 'Siddharth Thakkar', 'Shivshakti Sachdev']",,,2,"When two twin brothers and their mom move into the 5 star hotel Raj Mahal, they leave no stone unturned to cause troubles every day. The hotel manager who's always trying to run the hotel peacefully faces the twins who are always trying to make chaos. There at the hotel is also currently living the daughter of the Hotel's owner. A manager who's trying to run his hotel meets Karan and Kabir the twins.",Hindi,8 April 2012 (India)
159,Hatim,45min,"['Action', 'Adventure', 'Fantasy']",8.6,1280,47,,"['Rahil Azam', 'Pooja Ghai Rawal', 'Nirmal Pandey']",18,2,1,"Hatim is on an adventurous journey with his friend Hobo, to find answers of the 7 question so that a boy become normal who was turned down into stone by Dajjal (a servant of Satan )",Hindi,26 December 2003 (India)
160,Anupamaa,,['Drama'],5,868,163,,"['Rupali Ganguly', 'Sudhanshu Pandey', 'Sunil Meena']",58,,1,"Anupamaa sacrificed a lot to become a loyal wife, a devoted daughter-in-law, and a loving mother, only to be disrespected in return. After the bitter realization, she sets out to live on .",Hindi,13 July 2020 (India)
161,Child Bride,22min,['Drama'],3.6,999,2247,,"['Surekha Sikri', 'Toral Rasputra', 'Pratyusha Banerjee']",9,2,1,"Set in rural Rajasthan, 'Balika Vadhu' traces the arduous journey of child bride Anandi from the brink of childhood to womanhood. Married at the tender age of eight, Anandi had to accept and accustom herself to a new family of strangers and accept her roles as a friend, lover, wife and a daughter in law during childhood itself. Now, as a young adult, she faces new challenges as she tries to carve out her own identity in the world. 'Balika Vadhu' very sensitively portrays the plight of children who are unwittingly forced into marriage, in the name of tradition, and have to bear the repercussions for the rest of their lives.
Written by
Colors TV",Hindi,20 July 2008 (India)
